name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"1,761,708,453","1,244,698,894","1,542,851,556","1,785,965,811","3,002,505,553","3,266,152,763","2,684,462,089","2,787,282,702","1,753,276,644","2,447,256,909","4,156,741,476","747,300,880"
EnterpriseValue,"1,056,776,453","672,708,894","904,095,556","619,043,811","2,504,265,553","2,929,649,763","2,014,570,089","2,279,354,702","1,174,179,644","2,094,891,909","3,936,771,476","552,344,880"
ForwardPeRatio,,,,,"5.543",,,,,,,
PsRatio,"65.044","51.35","154.456","10.385","15.07","24.853","34.233","45.975","29.668","35.372","63.782","29.667"
PbRatio,"2.172","1.405","1.472","1.28","6.249","7.286","3.531","6.206","4.389","6.515","20.008","5.241"
EnterprisesValueRevenueRatio,"39.398","25.08","63.49",,"12.324","24.846","21.344","52.995","16.8","35.435","60.234","21.62"
EnterprisesValueEBITDARatio,"-2.746","-1.748","-2.376","-1.677","-7.679","-9.506","-5.945","-7.251","-6.013","-18.16","-74.608","-14.752"
