name,ttm,12/31/2023
MarketCap,"1,769,781,000","3,099,120,000"
EnterpriseValue,"2,868,381,000","4,677,720,000"
ForwardPeRatio,"333.333","13.587"
PsRatio,"0.592","1.001"
PbRatio,"1.169","1.829"
EnterprisesValueRevenueRatio,"0.964","1.511"
EnterprisesValueEBITDARatio,"403.997","27.117"
