name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"10,958,020,548","9,148,637,707","5,278,872,054","6,938,455,233","6,307,626,706","4,435,113,095","2,731,208,095","1,424,777,117","1,515,706,692","1,502,703,332","1,209,378,606"
EnterpriseValue,"10,545,179,548","8,814,031,707","4,897,977,054","6,475,714,233","5,921,380,706","3,928,522,095","2,344,734,095","1,150,476,117","1,263,228,692","1,253,048,332","1,040,369,606"
PeRatio,"2,315.857",,,,"2,308.429","67","102.972","66.758","58.333","126.1","1,321.667"
ForwardPeRatio,"149.254","135.135",,,"91.743","44.444","38.023","31.847","34.965","51.814","666.667"
PegRatio,"7.463","6.743",,,"4.575","2.225","1.521","1.274","1.749","2.594","26.433"
PsRatio,"14.349","12.984","9.119","13.754","13.898","10.865","8.659","6.082","7.992","15.613","13.521"
PbRatio,"13.83","12.699","8.105","9.699","9.411","7.804","6.35","4.253","5.567","6.484","8.207"
EnterprisesValueRevenueRatio,"14.025","11.723","8.278","12.876","12.75","9.054","6.832","4.396","5.832","7.792","10.101"
EnterprisesValueEBITDARatio,"-257.124","-214.913","-41.566","-109.186","183.501","47.506","37.867","35.635","29.762","35.321","49.074"
