name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"166,597,386,402","126,702,331,221","49,321,693,518","81,734,819,880","87,550,731,000","51,054,092,940"
EnterpriseValue,"172,389,386,402","132,520,331,221","55,539,693,518","86,187,819,880","89,341,731,000","45,901,092,940"
PeRatio,"92.218","118.404",,,,
ForwardPeRatio,"62.893","55.556","357.143","2,500",,
PegRatio,"2.27"
PsRatio,"4.502","3.527","1.671","5.248","6.811","3.882"
PbRatio,"14.81","13.627","7.939","5.867","9.791","3.39"
EnterprisesValueRevenueRatio,"4.624","3.555","1.742","4.938","8.021","3.531"
EnterprisesValueEBITDARatio,"45.642","35.086","-7.018","239.411","-15.109","-6.201"
