name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
MarketCap,"4,074,536,332","3,800,487,625","3,609,716,185","3,686,328,618","2,881,671,386","3,637,772,336","3,194,202,182","4,374,223,072","4,462,791,261","3,482,135,749"
EnterpriseValue,"5,547,635,332","5,250,332,625","5,014,431,185","5,125,223,618","4,582,110,386","5,193,500,336","4,514,202,182","5,375,261,072","5,463,829,261","4,446,276,749"
PeRatio,"21.909","24.072","23.206",,,"20.313","19.27","19.225","41.625","23.045"
ForwardPeRatio,"19.157","19.418","17.921","24.45","17.212",,,,"17.513","10.917"
PsRatio,"2.879","2.859","3.035","4.448","3.81","2.872","2.583","3.552","3.672","3.924"
PbRatio,"1.226","1.197","1.109","1.178","0.937","1.093","0.899","1.287","1.26","1.283"
EnterprisesValueRevenueRatio,"4.128","3.907","4.049","5.488","7.613","4.1","3.553","4.34","5.249","4.95"
EnterprisesValueEBITDARatio,"12.88","12.19","12.918","18.876","46.878","12.162","10.228","13.201","16.395","15.95"
