name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014
MarketCap,"2,045,190,901","1,956,994,646","3,295,923,639","4,212,103,744","4,262,924,844","2,455,389,397","2,418,045,131","1,913,138,525","1,869,958,116","1,504,053,765","1,448,744,740","938,886,310"
EnterpriseValue,"2,042,618,901","2,035,834,646","3,692,992,639","4,646,767,744","4,803,930,844","2,528,564,397","2,438,767,131","1,970,945,525","2,017,378,116","1,307,473,765","1,120,719,740","708,984,310"
PeRatio,"15.309","27.456","18.136","15.318",,"155.818",,,"16.901",,"4.341",
ForwardPeRatio,"17.857","8.591","10.341","12.937","13.947","12.195","13.643","13.175","16.75","18.484","23.148",
PegRatio,"1.63",,,,,"0.674","1.393","1.003",,,,
PsRatio,"1.76","1.649","2.48","2.783","2.575","1.74","3.092","1.189","3.783","3.438","1.355","1.025"
PbRatio,"1.047","1.02","1.411","1.886","1.925","17.357",,,,,,
EnterprisesValueRevenueRatio,"1.541","1.523","2.763","2.953","3.036","1.986","1.451","1.209","1.491","1.159","1.148","0.774"
EnterprisesValueEBITDARatio,"8.867","8.739","8.936","9.836","12.37","4.656","4.678","3.035","5.313","3.69","3.575","1.86"
