name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"2,908,501,902","1,707,087,833","2,537,441,625","1,958,077,781","1,847,423,401","950,635,764","1,178,952,196","622,589,670","812,172,122","1,723,818,282","2,421,865,227"
EnterpriseValue,"4,688,633,845","3,786,659,426","4,655,824,226","4,585,270,952","4,289,393,017","3,009,656,448","3,461,498,476","2,497,990,729","2,764,805,991","1,967,022,251","2,616,567,932"
PeRatio,"21.532","5.781","8.459",,,"5.991","34.592",,,"14.222","15.258"
ForwardPeRatio,"11.765","9.699","13.245","20.408","12.707","6.757","9.794","7.559","6.031","8.897","9.852"
PegRatio,,,,,,,,,,"0.469","0.519"
PsRatio,"0.373","0.204","0.403","0.303","0.281","0.148","0.195","0.123","0.15","0.402","0.505"
PbRatio,"3.15","2.08","9.496",,,,,,,"36.348",
EnterprisesValueRevenueRatio,"0.648","0.466","0.757","0.939","0.878","0.529","0.661","0.527","0.537","0.537","0.749"
EnterprisesValueEBITDARatio,"7.43","6.301","6.567","12.494","11.784","5.442","9.109","6.168","-9.125","11.571","13.215"
