name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"1,478,314,501","1,225,728,666","1,129,596,966","1,568,411,565","1,011,485,942","1,135,334,592","493,717,969","617,592,163","433,761,708","785,651,328","1,317,228,000","1,366,596,000","1,041,216,000","853,848,000","871,938,000"
EnterpriseValue,"3,090,561,501","3,221,571,666","3,154,355,966","3,825,373,565","2,489,461,942","2,567,182,592","1,498,135,969","1,691,589,163","1,799,835,708","2,259,897,328","2,995,833,000","3,065,508,000","2,335,784,000","2,210,041,000","2,047,821,000"
PeRatio,"4.1","2.852","2.332","5.75",,"21.178","21.95","17.485","3.862","6.472","12.949","13.841","11.6","11.899","8.764"
ForwardPeRatio,,,,,,,,,,"5.956",,"9.259","7.246","8.658","7.289"
PegRatio,,,,,,,,,,,,"1.889","1.479","1.154",
PsRatio,"0.722","0.985","1.011","2.466","2.133","2.364","1.28","1.285","0.882","1.596","2.769","3.431","2.437","2.287","2.011"
PbRatio,"0.594","0.531","0.573","0.995","0.757","0.818","0.365","0.512","0.502","0.842","1.645","2.136","2.001","2.69","2.408"
EnterprisesValueRevenueRatio,"1.522","2.513","2.786","6.083","5.346","5.583","3.997","4.009","3.747","4.622","6.298","7.724","6.049","6.041","5.799"
EnterprisesValueEBITDARatio,"4.421","4.197","4.044","7.798","12.801","9.141","7.544","7.921","6.444","7.931","11.78","15.007","12.871","9.494","8.706"
