name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005
MarketCap,"1,879,918,486","2,310,200,020","2,505,008,003","2,748,219,414","3,258,840,217","1,908,781,729","2,397,365,593","2,445,190,683","2,923,824,695","2,792,578,546","2,646,498,893","3,640,408,018","2,627,026,138","1,389,682,441","1,087,903,635","666,688,218","395,076,372","389,078,595","349,769,280","120,117,142","88,894,260"
EnterpriseValue,,,,,,,,"4,714,605,934","5,451,949,695","5,319,143,546","5,566,837,893","6,057,442,018","3,743,551,138","1,740,644,441","1,433,208,635","697,036,218","509,934,372","388,523,595","50,860,280","13,040,142","14,941,260"
PeRatio,"15.194","18.433",,"3.297","3.601",,"10.705","10.323","9.783","26.966","8.099","8.709","10.909","6.861","7.326","30.156","8.288","11.265","10.461","9.284","10.158"
ForwardPeRatio,,,,,,,,,,"7.764","7.402","8.403","8.921","8.658","8.985",,,,,,
PegRatio,,,,,,,,,,,,"1.681","1.785","1.731","5.378",,,,,,
PsRatio,"31.445","10.911",,"3.109","3.421",,"8.343","8.317","8.435","19.456","7.537","9.914","13.046","7.074","8.379","24.559","9.071","11.002","11.879","7.171","11.183"
PbRatio,"0.535","0.628","0.659","0.649","0.897","0.651","0.72","0.731","0.862","0.816","0.716","1.022","1.047","1.206","0.976","0.938","0.742","0.906","1.159","1.109","0.863"
EnterprisesValueRevenueRatio,"52.832","16.265",,"5.794","5.773",,"16.639","16.474","16.059","38.282","16.054","17.718","20.358","8.468","10.479","25.773","11.317","2.755","1.74","8.901","1.846"
