name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,080,465,689","1,565,637,675","1,551,700,599","1,280,276,915","1,197,134,722","1,272,721,009","2,653,451,550"
EnterpriseValue,"1,170,690,513","1,679,209,474","1,551,609,238","1,303,503,970","1,355,362,496","1,372,767,489","2,865,336,533"
PeRatio,"22.088",,"16.976","15.887","16.131","30.02","46.514"
ForwardPeRatio,,"8.764","4.279","5.291","9.515","13.333","0.475"
PsRatio,"5.279","1.876","1.56","1.964","2.131","2.793","3.855"
PbRatio,"3.498","1.472","1.261","1.631","2.377","10.404","42.376"
EnterprisesValueRevenueRatio,"0.009","0.012","0.011","0.011","0.019","0.027","0.075"
EnterprisesValueEBITDARatio,"0.029","0.055","0.035","0.03","0.075","0.136","0.307"
