name,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997
MarketCap,"46,166,558,139","32,928,834,490","41,187,804,321","54,726,643,544","33,285,370,138","37,984,529,833","38,369,258,103","38,888,463,628","29,744,482,550","30,261,542,764","36,478,633,704","33,784,988,015","31,782,693,267","30,260,556,348","29,728,875,865","21,957,201,256","17,358,377,612","35,939,209,286","26,231,355,176","20,511,408,312","20,995,253,478","16,244,865,551","9,109,463,041","11,193,452,033","11,974,201,191","8,648,998,500","8,284,258,938","11,846,322,636"
PeRatio,"10.14","9.975","8.886","11.467","11.554","9.839","9.917","10.278","9.763","11.271","12.772","10.872","10.008","10.261","12.543","27.558",,"11.139","11.813",,,,"29.292","12.019","9.958","13.885","9.848","11.484"
ForwardPeRatio,"9.728","7.138","8.237","10.504","9.399","9.099","8.921","10.173","10.04","10.384","10.929","10.299","9.524","9.606","10.905",,"9.2",,,,,,,,,,,
PegRatio,,,,,,,,,,,"1.847","1.74","1.609","1.746","1.211",,"1.415",,,,,,,,,,,
PsRatio,"2.596","1.949","2.608","3.448","2.356","2.74","2.867","2.978","2.8","2.975","3.104","2.861","2.53","2.432","2.599","2.556","5.441","2.885","2.621","1.987","2.248","1.85","1.306","1.646","1.557","1.388","1.33","1.964"
PbRatio,"1.264","0.982","1.264","1.666","1.197","1.428","1.561","1.77","1.854","2.015","2.379","2.221","2.096","2.06","2.524","2.223","1.848","3.08","2.966","2.903","2.397","2.058","1.536","1.85","1.921","1.348","1.373","1.912"
