name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"1,474,037,204","1,538,743,843","1,479,730,720","1,878,523,417","1,539,046,493","1,962,251,652","1,696,191,938","1,984,162,717","1,674,126,772"
PeRatio,"6.856","6.782","7.703","11.69","10.819","10.888","9.5","20.161","27.084"
PsRatio,"2.653","2.716","2.817","3.855","3.123","3.798","3.553","4.565","4.261"
PbRatio,"1.469","1.627","1.961","1.929","1.556","2.034","1.946","2.474","1.737"
