name,ttm
MarketCap,"8,833,437,591"
EnterpriseValue,"10,235,259,268"
PeRatio,"104.765"
ForwardPeRatio,"35.842"
PsRatio,"5.22"
PbRatio,"3.279"
EnterprisesValueRevenueRatio,"6.619"
EnterprisesValueEBITDARatio,"26.619"
