name,ttm,12/31/2023
MarketCap,"11,323,921,726","6,576,668,346"
EnterpriseValue,"10,043,921,726","4,553,668,346"
PeRatio,"4.178",
ForwardPeRatio,"15.456","90.09"
PegRatio,,"21.752"
PsRatio,"3.806","2.194"
PbRatio,"3.943","1.88"
EnterprisesValueRevenueRatio,"3.046","1.52"
EnterprisesValueEBITDARatio,"22.775","-2.184"
