name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
MarketCap,"6,112,857,021","5,679,681,108","5,135,880,873","5,181,652,544","3,468,056,391","4,099,572,071","3,750,538,531","4,606,398,020","3,757,035,403","2,347,556,697","2,188,604,371","2,126,896,807","1,352,701,628","1,007,970,691","1,151,560,166","745,327,957","488,101,086","776,252,133","1,222,490,038","1,314,346,845","1,237,658,094","904,988,551","539,213,576","296,155,332","137,223,309","133,695,287","159,859,737","137,695,100","97,342,275"
PeRatio,"10.38","9.322","11.484","11.919","13.606","11.896","11.727","19.753","21.598","15.961","15.959","17.338","15.887","24.181","32.382","14.124","27.066","14.79","17.462","20.333","24.342","22.778","19.575","15.798","13.985","13.864","26.52","28.333",
ForwardPeRatio,"10.341","9.69","7.788","15.625","14.124","11.696","10.111","17.153","18.382","13.87","14.368","15.06","13.477","13.624","21.505",,,,,,,,,,,,,,
PegRatio,,,,,,,"1.011","1.716","1.837",,"1.437","1.674","1.685","1.514","1.954",,,,,,,,,,,,,,
PsRatio,"2.717","2.55","2.728","3.093","2.224","2.874","2.952","4.138","3.895","2.821","3.025","2.942","2.402","1.974","1.715","1.724","1.463","2.459","3.649","4.337","5.136","4.497","3.436","2.878","1.926","2.271","3.662","4.29","4.346"
PbRatio,"1.226","1.234","1.216","1.296","0.947","1.2","1.228","1.656","1.554","1.126","1.151","1.217","0.831","0.683","0.83","0.873","0.622","1.05","1.602","2.141","2.612","2.587","2.375","2.096","1.409","1.438","2.126","2.001","2.285"
