name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
MarketCap,"1,256,863,670","1,985,906,568","2,003,269,594","3,065,196,476","1,312,114,216","848,650,148","975,058,866","699,591,600","1,620,759,229","1,334,365,296","1,521,844,108","147,024,248","115,792,233","531,444,815","1,231,921,275","230,533,581","769,068,950","285,789,600"
EnterpriseValue,"3,870,739,670","4,883,858,568","4,182,433,594","4,748,109,476","3,144,533,216","2,454,344,148","2,944,915,866","2,697,483,600","2,660,705,229","1,940,952,296","2,448,568,108","1,309,681,699","787,972,233","861,463,724","1,458,886,474","271,894,813","864,641,965","296,740,600"
PeRatio,"3.896","11.36","28.445","14.939","6.296","4.596","40.143","5.075","6.552","7.466",,,,"10.681","20.44",,,
ForwardPeRatio,"4.764","4.953","7.93",,,,,,,,,,,"5.787","9.328",,,
PegRatio,"0.191",,,,,,,,,,,,,"0.249","3.286",,,
PsRatio,"0.177","0.312","0.444","0.924","0.427","0.233","0.331","0.225","0.519","0.564","1.024","0.113","0.061","0.362","1.639","0.289","2.536","5.902"
PbRatio,"0.504","1.117","1.169","2.042","0.989","0.731","1.021","0.762","2.07","2.054","5.483","0.505","0.222","0.995","2.483","0.695","6.091","10.545"
EnterprisesValueRevenueRatio,"0.491","0.654","0.793","1.366","0.982","0.655","0.869","0.945","0.767","0.656","1.48","1.011","0.415","0.576","2.312","0.386","2.856","4.35"
EnterprisesValueEBITDARatio,"6.08","7.341","8.725","11.428","7.474","4.598","8.372","10.652","7.156","4.291","13.356","-20.491","30.734","7.127","28.359","11.519","-4.036","146.56"
