name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,02/28/1991,02/28/1990,02/28/1989,02/29/1988
MarketCap,"10,132,229,916","9,438,593,407","6,170,958,659","5,429,415,656","4,168,202,165","4,784,655,690","2,756,062,330","3,085,795,591","3,193,902,252","2,398,756,821","2,830,312,310","3,637,903,912","3,321,803,769","3,381,637,818","2,218,551,359","1,563,618,166","1,505,096,871","1,050,933,456","952,950,946","557,556,415","216,197,810","123,948,898","191,497,589","38,704,450","19,975,886","13,497,500","15,631,500","15,787,863","21,921,750","23,812,500","37,139,278","67,160,250","111,924,000","102,195,000","90,040,000","62,986,000","157,220,000","88,801,500"
EnterpriseValue,"12,071,320,916","11,511,836,407","8,346,868,659","6,410,317,656","5,341,059,165","6,182,369,690","4,126,876,330","4,354,108,591","4,568,622,252","3,614,576,821","3,968,288,310","4,781,123,912","4,488,160,769","3,665,076,818","2,191,967,359","1,629,271,166","1,309,027,871","1,054,028,456","1,000,761,946","673,648,415","327,988,810","290,728,898","352,166,589","80,503,450","87,966,886","83,597,500","86,631,500","83,887,863","93,621,750","100,912,500","99,539,278","137,760,250","177,724,000","167,495,000","154,040,000","127,386,000","200,420,000","100,901,500"
PeRatio,"27.027","26.203","16.444","28.344","35.561","53.594","21.09","774.286",,"35",,"26.556","22.921","30.276","17.055","40.551","25.275","24.159","22.728","18.587",,,,"8.425","6.361",,,,,,"12.306","25.446","23.077","30.405",,"87.5","53.03","20.076"
ForwardPeRatio,"25.707","21.882","15.408","24.155","36.496","41.322",,"52.632","71.429","25.381","27.778","22.124","20.576","25.51","26.178",,"13.263",,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,"0.299",,"1.503","1.946","1.528","3.343","1.378","1.31",,"1.422",,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.888","1.774","1.242","1.575","1.322","1.416","0.874","1.075","1.151","0.722","0.848","1.118","1.36","1.83","1.285","1.384","1.407","1.126","1.234","0.689","0.331","0.198","0.542","0.17","0.095","0.066","0.078","0.085","0.108","0.108","0.223","0.394","0.668","0.859","0.63","0.466","1.441","1.011"
PbRatio,"4.508","4.318","3.358","3.71","3.195","3.872","2.302","2.714","2.896","2.137","2.143","2.465","2.32","4.034","2.841","2.547","3.508","5.18","5.723","16.107","19.588","13.309","8.792","0.781","0.518","0.395","0.431","0.395","0.409","0.364","0.54","0.996","1.926","2.012","1.924","1.062","2.706","4.353"
EnterprisesValueRevenueRatio,"2.232","2.128","1.616","1.684","1.699","1.812","1.25","1.478","1.658","1.104","1.167","1.362","2.051","1.847","1.266","1.517","1.27","1.113","1.206","0.947","0.51","0.476","1.006","0.32","0.377","0.412","0.439","0.456","0.468","0.482","0.481","0.688","1.009","1.314","1.078","0.969","2.094","1.373"
EnterprisesValueEBITDARatio,"12.199","11.633","8.365","9.897","9.817","11.624","8.649","10.014","12.022","7.84","10.095","9.813","13.298","10.546","7.169","11.378","8.615","8.299","8.989","8.259","4.981","7.096","9.849","2.69","3.529","5.077","5.504","8.83","9.362","11.599","4.651","5.912","7.467","9.41","7.514","10.191","20.877","9.343"
