name,ttm,11/30/2023,11/30/2022,11/30/2021,11/30/2020
MarketCap,"4,026,611,190","6,178,338,660","6,253,128,480","8,564,604,000","4,128,182,400"
EnterpriseValue,"8,673,300,190","8,039,013,660","8,484,395,480","9,276,248,000","5,756,048,400"
PeRatio,"10.654","14.091","14.181","24.676","31.321"
ForwardPeRatio,"5.105","6.959","9.294","15.773",
PegRatio,"0.567","0.696","0.774","1.052",
PsRatio,"0.461","0.74","1.032","1.575","0.893"
PbRatio,"0.972","2.128","2.363","3.338","2.536"
EnterprisesValueRevenueRatio,"1.219","1.13","1.342","1.66","1.22"
EnterprisesValueEBITDARatio,"8.695","8.059","8.617","10.838","9.71"
