name,ttm,12/31/2023
MarketCap,"2,483,046,609","2,643,251,439"
EnterpriseValue,"2,358,618,609","2,491,797,439"
PeRatio,"26.669","50.099"
PsRatio,"4.222","5.519"
PbRatio,"6.897","9.764"
EnterprisesValueRevenueRatio,"3.8","5.203"
EnterprisesValueEBITDARatio,"18.493","33.199"
