name,ttm
MarketCap,"2,158,779,428"
EnterpriseValue,"4,993,618,428"
PeRatio,"37.662"
ForwardPeRatio,"21.598"
PsRatio,"0.795"
PbRatio,"9.164"
EnterprisesValueRevenueRatio,"1.896"
EnterprisesValueEBITDARatio,"14.448"
