name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"2,407,491,221","1,860,723,287","301,436,820","715,688,270","674,870,180","708,877,400","1,556,585,910"
EnterpriseValue,"4,978,146,221","4,578,482,287","3,071,499,820","3,296,769,270","3,354,908,180","3,269,204,400","4,266,321,910"
PeRatio,,"101.167",,"53.222","10.156",,
ForwardPeRatio,,,,,"7.369","10.707",
PsRatio,"0.848","0.394","0.141","0.35","0.357","0.359","1.181"
PbRatio,,"5.624","1.013","2.042","2.242","3.252","3.439"
EnterprisesValueRevenueRatio,"1.857","1.919","1.436","1.595","1.785","1.894","2.925"
EnterprisesValueEBITDARatio,"13.816","9.801","23.844","8.017","11.462","16.787","43.731"
