name,ttm,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
MarketCap,"2,015,939,229","2,823,722,797","2,731,247,799","2,256,448,423","3,406,795,130","1,661,974,946","1,893,661,303","2,823,148,361","2,635,819,078","2,298,897,836","1,778,572,970","2,796,777,926","2,398,087,890","1,103,478,496","1,564,859,013","1,166,080,437","1,105,176,661","1,581,402,636","1,797,398,832","1,510,411,204","1,473,760,465","1,662,416,987","1,283,213,135","1,304,061,431","981,817,387","1,039,773,615","1,152,516,537","1,703,579,625","1,789,153,500","1,827,953,750","1,896,285,000","1,788,579,750","1,771,356,999","1,376,153,333","959,978,105","965,304,869","871,860,008","842,380,281","838,332,000","806,643,072"
EnterpriseValue,"2,141,341,229","2,916,032,797","3,261,855,799","3,124,244,423","3,503,090,130","2,295,990,946","2,530,031,303","3,457,990,361","2,985,585,078","2,884,603,836","2,435,961,970","3,185,731,926","2,798,950,890","1,596,164,496","1,891,902,013","1,357,302,437","1,326,473,661","1,935,270,636","2,010,209,832","1,704,706,204","1,804,943,465","1,950,207,987","1,628,113,135","1,599,178,431","1,306,373,387","1,564,307,615","1,690,716,537","2,264,779,625","2,291,353,500","2,109,153,750","1,986,685,000","1,840,879,750","1,811,456,999","1,441,753,333","1,020,978,105","964,104,869","882,060,008","861,880,281","874,832,000","860,543,072"
PeRatio,"66.5","11.429","13.428","5.852","5.731","16.904","13.878","13.939","13.116","21.595","23.457","19.282","15.557","9.848","14.268",,,"18.294","16.115","10.384","8.256","26.219","14.846","201.541","27.381","11.439","15.074","24.824","25","19.926","16.182","21.011","28.502","26.58","21.667","17.669","13.81","15.118","20.455","20.145"
ForwardPeRatio,"14.903","16.051","12.18","8.865",,,,,,,,"13.774","13.298","8.058","12.376",,"31.546",,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,"1.204","0.811",,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.881","0.596","0.534","0.514","1.288","0.498","0.533","0.9","0.941","0.822","0.553","0.992","0.907","0.45","0.674","0.651","0.366","0.556","0.618","0.523","0.482","0.758","0.601","0.751","0.539","0.547","0.698","0.891","0.967","1.237","1.277","1.397","1.618","1.484","1.105","1.061","0.881","0.938","1.044","1.096"
PbRatio,"2.212","3.096","1.723","1.555","2.597","1.989","2.211","2.968","2.934","3.194","2.294","3.155","2.936","1.583","2.268","1.673","1.55","1.883","1.92","1.598","1.795","2.544","2.027","2.151","1.511","1.544","1.598","2.234","2.562","2.858","3.212","3.549","4.271","3.653","2.704","2.803","2.72","2.943","3.589","3.966"
EnterprisesValueRevenueRatio,"1.932","0.608","0.626","0.665","1.288","0.678","0.659","1.015","1.035","0.978","0.71","1.084","1.051","0.63","0.775","0.745","0.438","0.648","0.676","0.588","0.586","0.892","0.758","0.917","0.715","0.797","1.007","1.091","1.264","1.427","1.339","1.433","1.707","1.553","1.167","1.053","0.877","0.953","1.089","1.17"
EnterprisesValueEBITDARatio,"89.048","6.352","7.679","4.644","3.981","8.53","7.693","8.641","7.248","10.237","9.94","9.969","8.849","6.318","7.212","17.84","80.981","11.819","10.546","8.967","5.456","12.315","7.62","8.461","9.184","6.505","8.055","10.573","11.721","12.76","10.568","12.135","14.219","12.977","10.355","8.562","6.945","7.58","6.514","7.336"
