name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"22,383,742,314","19,235,559,649","13,506,130,529","20,350,452,100","12,178,290,629","7,570,879,451"
EnterpriseValue,"20,704,737,314","17,764,189,649","12,424,571,529","19,555,317,100","11,534,178,629","7,214,079,451"
PeRatio,"61.55","52.837","50.161","87.573","73.825","58.067"
ForwardPeRatio,"44.053","40.323","29.94","54.348","44.843","41.841"
PegRatio,"3.585","3.05",,,,
PsRatio,"16.726","15.261","11.511","19.844","13.26","8.753"
PbRatio,"4.165","3.659","2.77","4.433","3.002","2.635"
EnterprisesValueRevenueRatio,"15.472","13.275","10.452","18.167","12.921","9.302"
EnterprisesValueEBITDARatio,"30.399","26.082","20.533","36.021","26.913","19.913"
