name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"2,578,656,954","2,224,381,729","1,816,883,034","728,304,438","457,482,941","871,207,691","491,466,996","536,998,907","409,369,713"
EnterpriseValue,"3,136,426,954","2,875,912,729","2,389,475,034","1,747,712,438","892,361,941","1,604,566,691","1,227,904,996","989,306,907","738,601,713"
PeRatio,"4.684","3.512","13.128",,"3.695",,,,"5.091"
ForwardPeRatio,"5.01","4.733","3.277","4.454","8.78","3.715","29.586","12.739",
PsRatio,"2.43","1.946","2.976","2.051","0.962","2.536","2.049","1.752","0.936"
PbRatio,"1.502","1.348","1.368","0.6","0.421","0.887","0.488","0.459","0.335"
EnterprisesValueRevenueRatio,"2.926","2.683","2.763","6.413","2.116","4.382","4.542","3.41","1.854"
EnterprisesValueEBITDARatio,"4.154","3.809","4.297","-182.586","8.456","11.373","28.154","70.383","7.208"
