name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
MarketCap,"1,249,309,676","1,003,762,670","778,868,613","628,682,909","693,279,441","693,110,527","571,170,849","601,099,633","445,466,279","570,332,152"
EnterpriseValue,"1,613,044,676","1,417,586,670","1,376,837,613","706,105,909","804,566,441","561,134,527","442,880,849","495,634,633","359,251,279","472,352,152"
PeRatio,"30.302","128.25",,"7.13","40.06",,,,,
ForwardPeRatio,"6.325",,"4.55","4.448","4.78","27.473","114.943",,,
PsRatio,"2.882","1.957","2.279","2.283","2.259","2.313","2.589","28.101","864.684",
PbRatio,"6.393","5.484","3.982","2.504","4.015","8.226","8.07","6.284","6.151","6.096"
EnterprisesValueRevenueRatio,"2.846","2.501","2.968","2.55","2.595","1.891","1.579","17.405","209.966",
EnterprisesValueEBITDARatio,"5.232","4.598","7.945","8.158","6.818","-88.647","4.819","-6.673","-3.845","-17.667"
