name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"21,242,798,008","20,405,608,331","13,546,833,852","17,656,398,695","22,826,639,251","24,554,645,124","15,943,197,287","17,271,360,103","13,131,886,903","13,203,349,418","13,631,062,414","9,663,217,290","4,347,679,686","2,428,963,761","2,462,939,185"
EnterpriseValue,"26,576,055,008","26,294,388,331","19,450,499,852","22,076,776,695","26,530,364,251","27,968,577,124","19,491,681,287","20,973,087,103","16,662,571,903","15,869,247,418","14,681,718,414","10,451,500,290","5,009,421,686","2,588,403,761","2,673,548,185"
PeRatio,"22.397","22.148","15.143","23.124","32.911","27.041","21.747","32.782","32.835","31.692","38.929","35.942","21.29","19.523","23.075"
ForwardPeRatio,"15.244","14.641","10.707","14.706","21.186","21.186","15.456","19.802","17.637","20.79","22.523","23.202","16.502","12.166",
PegRatio,"1.181",,,,"1.178","1.176","0.859","1.101","0.979","1.154","1.601","1.651","1.175","1.014",
PsRatio,"5.852","5.695","4.317","7.196","9.701","9.999","7.17","8.418","7.694","8.084","11.805","11.798","6.501","5.094","5.755"
PbRatio,"6.472","6.67","6.05","5.562","7.77","6.296","4.476","5.038","4.089","4.457","8.745","8.232","4.758","3.21","3.935"
EnterprisesValueRevenueRatio,"7.072","6.997","5.675","7.791","11.106","10.559","8.01","9.323","9.098","9.319","12.241","11.675","7.08","4.982","6.163"
EnterprisesValueEBITDARatio,"13.22","13.08","11.035","14.652","20.937","18.62","12.924","16.576","18.15","19.817","22.444","21.21","13.328","9.939","13.006"
