name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,054,425,127","243,426,869","327,043,854","204,006,300","235,596,020","430,710,000","326,430,000","306,514,937"
EnterpriseValue,"1,367,595,127","297,229,869","333,459,854","168,830,300","182,751,020","387,750,000","332,550,000","252,737,937"
PeRatio,"64.75","10.076","19.471",,,"7.778","9.672",
ForwardPeRatio,,,,,"312.5","13.038","5.374","16.393"
PegRatio,,,,,,,"0.134","0.41"
PsRatio,"4.036","0.77","1.104","1.43","1.817","1.617","1.729","4.37"
PbRatio,"4.756","1.126","1.471","0.996","1.148","1.693","2.062","6.534"
EnterprisesValueRevenueRatio,"4.882","0.948","1.183","1.219","1.3","1.642","2.015","5.108"
EnterprisesValueEBITDARatio,"18.931","3.453","5.366","11.324","3.74","2.942","2.774","11.068"
