name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
MarketCap,"21,817,828,045","25,378,392,008","25,233,534,292","44,621,307,393","35,181,605,978","24,244,724,152","16,007,647,224","22,551,189,725","18,241,051,774","23,850,812,133","21,206,563,567","18,423,179,529","12,060,193,749","7,070,386,745"
EnterpriseValue,"26,964,828,045","30,564,392,008","27,156,534,292","46,284,307,393","37,483,605,978","28,707,724,152","19,344,647,224","26,893,189,725","21,920,051,774","26,538,812,133","22,634,563,567","19,788,179,529","13,419,193,749","7,991,386,745"
PeRatio,"7.526","11.173","80.983","56.49","19.953","24.477","15.951","16.536","17.314","18.163","16.951","17.896","11.486","7.603"
ForwardPeRatio,"13.831","15.083","19.685","35.842","32.573","17.361","10.799","15.898","10.438","13.736","12.788","12.034","8.734",
PegRatio,"0.704","0.741","0.855","0.985","3.004","2.35","2.518","4.833","1.992","2.727","1.419","2.114","1.337",
PsRatio,"1.103","1.273","1.487","2.876","2.767","1.71","1.151","1.323","1.146","1.501","1.3","1.176","0.797","0.448"
PbRatio,"1.889","2.355","3.079","5.38","4.778","6.801","4.437","7.041","7.12","10.298","7.328","6.709","5.143","4.707"
EnterprisesValueRevenueRatio,"1.345","1.524","1.553","2.964","2.869","2","1.34","2.087","1.786","2.443","1.46","1.315","0.865","0.498"
EnterprisesValueEBITDARatio,"10.641","12.062","13.778","25.251","13.006","14.304","8.993","13.855","13.333","18.115","9.884","9.387","6.822","3.798"
