name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
MarketCap,"20,091,101,543","21,058,058,424","18,744,218,801","20,383,179,842","14,485,017,250","12,665,332,137","7,472,596,589","6,419,319,620","4,297,786,788","3,143,683,757","3,765,994,700","3,451,288,778","2,418,176,693","2,027,491,087","1,598,897,466","1,383,962,398","1,597,976,602","1,874,555,739","1,393,301,561","980,194,826","968,610,813","608,224,995","502,525,607","518,996,777","746,236,614","251,871,906"
EnterpriseValue,"22,687,701,543","23,793,558,424","22,318,118,801","24,403,179,842","14,934,217,250","13,584,832,137","8,183,796,589","7,532,519,620","4,811,286,788","3,784,883,757","4,217,994,700","4,005,688,778","2,930,576,693","2,278,891,087","1,791,097,466","1,609,962,398","1,910,776,602","2,004,355,739","1,624,401,561","1,041,794,826","1,034,810,813","620,724,995","515,025,607","537,096,777","749,936,614","341,771,906"
PeRatio,"22.933","27.064","26.206","43.428","38.392","34.277","24.622","30.808","22.569","16.127","18.412","20.013","15.028","14.359","13.529","12.374","13.299","19.607","18.241","16.441","23.734","20.714","20.364","77.571","18.173","5.273"
ForwardPeRatio,"20.492","21.459","20.661",,,,,,,,"14.793","12.887","12.048","13.947","13.831",,,,,,,,,,,
PegRatio,,,,,,,,,,,"1.421","1.239","1.158","1.661","2.306",,,,,,,,,,,
PsRatio,"3.604","3.794","3.526","4.52","4.763","4.2","2.674","2.667","1.981","1.394","1.652","1.509","1.144","1.082","0.987","0.795","0.858","1.19","1.048","0.849","0.974","0.732","0.669","0.722","0.826","0.322"
PbRatio,"2.179","2.414","2.438","2.748","4.787","4.926","3.371","3.474","2.782","2.213","2.522","2.634","2.006","1.962","2.034","2.074","2.959","3.536","3.369","3.032","3.696","2.752","2.842","3","4.861","5.66"
EnterprisesValueRevenueRatio,"4.026","4.222","4.089","5.289","4.839","4.294","2.82","2.893","2.238","1.647","1.762","1.713","1.378","1.174","1.089","0.974","1.009","1.236","1.133","0.863","1.018","0.738","0.667","0.722","0.943","0.449"
EnterprisesValueEBITDARatio,"16.773","17.591","16.786","24.491","24.841","22.395","15.372","17.392","13.676","10.163","10.668","11.939","9.037","7.804","7.95","7.527","8.09","10.174","10.34","8.249","11.285","8.855","8.047","13.394","10.43","3.793"
