name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"5,904,373,750","7,207,076,391","12,154,112,540","25,892,886,493","4,229,644,685"
EnterpriseValue,"6,708,573,750","7,969,476,391","13,030,512,540","26,963,086,493","4,710,944,685"
PeRatio,"57.593","54.382","45.621","3,210",
ForwardPeRatio,"15.552","18.904","31.746","90.909","102.041"
PsRatio,"4.987","6.085","15.909","20.963","16.93"
PbRatio,"2.786","3.162","5.54","14.506","22.439"
EnterprisesValueRevenueRatio,"5.412","6.43","11.867","36.086","9.893"
EnterprisesValueEBITDARatio,"13.036","15.487","39.486","125.878","53.291"
