name,ttm,12/31/2023,12/31/2022
MarketCap,"875,937,474","898,880,068","1,007,381,474"
EnterpriseValue,"1,453,108,474","1,396,881,068","1,154,885,474"
PsRatio,"0.928","0.899","1.175"
PbRatio,"7.701","7.124","3.35"
EnterprisesValueRevenueRatio,"1.68","1.615","1.331"
EnterprisesValueEBITDARatio,"97.419","93.65","265.064"
