name,ttm,12/31/2023
MarketCap,"5,792,611,975","3,743,552,042"
EnterpriseValue,"6,251,062,975","4,354,433,042"
PeRatio,"29.151","27.35"
ForwardPeRatio,"24.814","20.04"
PegRatio,,"0.777"
PsRatio,"2.012","1.376"
PbRatio,"3.998","3.012"
EnterprisesValueRevenueRatio,"2.164","1.6"
EnterprisesValueEBITDARatio,"13.787","11.106"
