name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"2,014,890,670","804,303,488","753,369,457","2,923,134,127"
EnterpriseValue,"1,913,791,670","632,597,488","379,399,457","2,418,328,127"
PbRatio,"7.008","2.198","1.333","3.449"
EnterprisesValueEBITDARatio,"-7.125","-2.355","-1.477","-6.993"
