name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"4,724,906,232","4,416,590,432","3,029,971,829","4,764,169,291","5,057,772,054","5,066,006,962","8,981,263,184","6,094,373,288","7,450,285,252","13,522,452,816","11,760,622,121","14,181,832,185","10,174,936,406","14,912,657,190","15,582,162,833","12,830,400,000","24,261,600,000","11,774,400,000","11,396,427,822","10,676,374,435","5,309,990,468","3,099,994,435","4,105,992,629","7,311,373,960"
EnterpriseValue,"5,669,335,280","5,631,260,832","3,854,223,022","5,930,654,032","6,654,474,484","7,767,616,287","10,819,801,738","6,814,525,064","7,301,205,205","11,292,449,496","9,613,381,384","11,940,053,934","8,758,681,993","13,445,706,420","13,941,485,122","10,360,224,823","21,928,380,012","11,331,566,842","11,262,124,076","10,699,831,435","5,357,539,468","4,014,145,435","5,495,677,629","8,683,062,960"
PeRatio,"14.287","12.161","8.802","9.435","11.6","18.879","15.9","12.296","11.517","13.189","10.217","12.181","14.048","12.928","14.069","6.985","18.079","12.189","14.082","20.859","24.698","68.889",,"23.141"
ForwardPeRatio,,,,,,,,,,"30.96","7.148","10.122","10.02","11.299",,"9.47",,,,,,,,
PegRatio,,,,,,,,,,"2.977","0.688","0.974","3.712","5.649",,"1.894",,,,,,,,
PsRatio,"1.701","1.629","1.305","1.25","1.253","1.274","2.023","1.569","1.536","2.417","2.064","2.421","1.852","2.52","2.658","1.841","3.834","2.612","2.811","3.335","2.393","1.571","2.162","5.394"
PbRatio,"3.675","3.066","2.059","1.716","1.735","1.761","2.291","1.383","1.592","1.868","1.703","1.962","1.857","2.409","2.627","2.382","4.188","3.147","4.619","5.377","3.432","2.33","3.195","5.629"
EnterprisesValueRevenueRatio,"0.064","0.091","0.055","0.085","0.265","0.365","0.614","0.477","0.572","0.938","0.843","1.136","0.828","1.444","1.609","0.967","2.962","1.71","1.842","2.505","1.809","1.524","2.305","2.924"
EnterprisesValueEBITDARatio,"0.149","0.209","0.14","0.226","0.724","1.034","2.004","1.496","1.753","3.027","2.075","2.848","2.325","3.803","4.19","2.198","7.16","4.392","4.814","7.051","6.739","4.356","6.74","8.971"
