name,ttm,12/31/2023
MarketCap,"1,892,644,589","1,493,979,933"
EnterpriseValue,"1,534,644,589","1,372,979,933"
PeRatio,"4.423","0.412"
ForwardPeRatio,"4.617","4.021"
PsRatio,"0.866","0.293"
PbRatio,"0.719","0.692"
EnterprisesValueRevenueRatio,"0.67","0.269"
