name,ttm,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006
MarketCap,"51,069,206,726","35,717,845,601","32,542,155,809","36,749,474,610","29,003,940,059","39,251,292,287","45,581,616,249","46,282,769,843","37,425,758,522","43,285,562,109","48,075,446,496","50,888,499,674","39,343,224,073","36,122,034,497","30,853,089,318","21,215,545,542","41,716,956,267","74,994,705,365","94,972,529,245"
PeRatio,"11.785","8.001","6.679","10.205","35.063","8.411","8.73","7.983","6.899","11.791","4.967","6.493","12.13","7.167","11.748",,,"14.34",
ForwardPeRatio,"10.204","7.764","6.863","8.313","8.382","7.893","10.163","8.375","6.78","17.391","9.728","6.557","8.418","7.968",,,,,
PegRatio,"1.458","2.772","1.43","2.376","0.294",,"5.349",,,"2.76",,"13.113",,"0.472",,,,,
PsRatio,"2.678","1.878","1.525","1.724","1.453","2.065","2.156","2.133","1.669","2.663","2.135","2.394","1.679","1.188","1.112","1.361","1,683.44","3.76",
PbRatio,"0.782","0.532","0.428","0.457","0.358","0.485","0.55","0.626","0.503","0.698","0.773","0.939","0.707","0.708","0.806",,"1.07","1.978",
