name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"8,367,582,521","7,332,879,775","5,291,464,132","10,830,062,821","7,016,360,357","3,768,394,470","2,259,994,776","3,050,197,163","1,373,301,960"
EnterpriseValue,"9,146,482,521","8,173,479,775","5,989,664,132","11,310,862,821","7,454,560,357","4,561,894,470","2,825,994,776","3,518,397,163","1,792,501,960"
PeRatio,"48.782","42.208","19.652","50.058","61.484","53.012","30.038","55.985",
ForwardPeRatio,"43.103","36.496","23.981","50.251","59.172","42.373","26.525","47.619","26.042"
PsRatio,"1.969","1.757","1.368","3.312","2.686","1.683","1.164","1.732","0.844"
PbRatio,"5.631","4.899","3.999","10.59","9.028","9.796","7.432","14.899","8.988"
EnterprisesValueRevenueRatio,"2.126","1.9","1.492","3.254","2.756","1.935","1.338","1.89","1.088"
EnterprisesValueEBITDARatio,"24.197","21.623","13.709","28.512","30.18","24.739","17.707","24.971","16.149"
