name,ttm,12/31/2023
MarketCap,"3,448,417,965","3,230,395,254"
EnterpriseValue,"4,087,017,965","3,723,195,254"
PeRatio,"19.774","8.137"
ForwardPeRatio,"13.68","12.531"
PsRatio,"2.413","0.948"
PbRatio,"3.221","3.708"
EnterprisesValueRevenueRatio,"2.829","1.093"
EnterprisesValueEBITDARatio,"11.503","5.169"
