name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
MarketCap,"3,129,407,944","3,649,711,077","2,829,794,043","3,552,646,879","2,424,590,642","5,542,620,668","4,760,493,219","4,822,287,576","4,567,763,827","3,555,161,864","3,292,167,979","2,539,367,272","2,161,978,060","2,042,377,549","2,152,611,437","1,512,110,253","979,609,350","1,319,249,063","1,547,369,878","1,054,637,017","1,116,469,822","682,313,525","404,158,789","286,345,015","161,960,986","196,975,968","235,654,000","268,537,500"
EnterpriseValue,"6,094,532,944","6,522,325,077","5,714,945,043","6,306,489,879","5,519,600,642","8,772,898,668","7,641,450,219","7,798,938,576","6,809,167,827","5,578,141,864","4,905,131,979","4,061,338,272","3,520,285,060","3,167,049,549","3,332,181,437","2,630,562,253","2,192,062,350","2,385,475,063","2,306,269,878","1,710,934,017","1,698,129,822","1,158,364,525","740,707,789","576,521,015","398,262,986","413,375,968","439,354,000","223,337,500"
PeRatio,"20.99","25.104","18.311","365.308",,"27.274","19.057","19.424","23.003","19.747","18.531","20.483","20.585","30.782","24.089",,"9.085","16.549","23.19","18.274","21.522","19.61","14.341","12.131","6.649","8.272","12.29","193.75"
ForwardPeRatio,"15.674","17.889",,,"23.202","21.322",,,,,"17.762","15.528","15.175","17.452","19.157","14.327",,,,,,,,,,,,
PsRatio,"4.746","5.525","4.756","7.729","5.266","7.944","6.99","8.129","9.613","8.195","8.256","6.867","6.758","8.333","8.843","6.431","2.573","7.219","10.67","9.683","12.037","10.842","8.568","7.829","4.415","5.421","8.279","108.5"
PbRatio,"1.275","1.475","1.107","1.35","0.915","1.823","1.643","1.68","2.087","1.788","1.708","1.701","1.481","1.391","1.343","1.027","0.767","1.309","2.151","1.583","1.901","1.614","1.144","1.109","0.62","0.739","0.948","1.069"
EnterprisesValueRevenueRatio,"9.238","9.886","9.359","12.297","13.611","14.013","11.98","15.137","14.063","13.364","12.772","11.897","11.103","10.799","11.781","13.604","10.187","13.613","15.559","13.929","17.705","18.992","15.192","15.78","10.917","11.677","15.416","89.335"
EnterprisesValueEBITDARatio,"13.11","14.03","12.275","15.589","26.378","19.033","15.056","15.985","15.997","15.496","15.141","13.885","13.482","13.164","14.777",,,,,,,,,,,,,
