name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"1,373,345,900","1,572,063,352","1,726,153,790","1,186,539,395","474,238,315","557,701,351","766,877,676","577,452,052","163,723,089","160,010,990","136,569,257","142,331,376","60,424,542","50,792,609","81,721,781"
EnterpriseValue,"2,775,063,900","2,980,627,352","3,149,091,790","2,655,614,395","1,531,984,315","1,238,355,351","1,211,111,676","725,571,052","168,292,089","162,611,990","136,308,257","160,369,376","78,462,542","32,351,609","71,832,781"
PeRatio,"11.446","11.008","8.052","10.581","79.545",,,,,,,,,,
ForwardPeRatio,"11.099","10.235","11.325","7.692","7.102",,"12.438",,,,,,,,
PsRatio,"3.697","4.214","4.787","4.262","3.184",,"8.318","18.48",,,,,,,
PbRatio,"1.611","1.785","1.969","1.449","0.578",,"1.549","1.028",,"0.675","0.662",,,,
EnterprisesValueRevenueRatio,"7.48","8.034","9.051","7.732","9.315","10.322","15.686","26.549",,,,,,,
EnterprisesValueEBITDARatio,"9.183","9.863","9.346","9.209","16.681","15.524","25.789","-71.45","-114.174","-73.647","-52.71","0.78","-0.274","-0.262","-0.667"
