name,ttm,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992
MarketCap,"540,563,614","145,038,886","217,055,151","523,170,864","123,872,166","275,433,190","121,851,995","100,267,886","106,822,712","61,760,939","126,985,288","153,631,933","212,039,878","1,261,401,923","1,295,573,706","749,298,835","963,349,472","480,534,302","373,304,451","324,800,597","354,565,557","76,657,572","154,756,200","325,927,747","878,194,595","140,330,181","163,125,461","80,083,006","132,818,000","186,993,000","216,099,226","103,346,666","92,184,000"
EnterpriseValue,"519,166,614","124,657,886","176,896,151","448,932,864","76,955,166","195,391,190","99,738,995","76,657,886","75,308,712","34,339,939","114,271,288","133,888,933","148,173,878","1,021,492,923","1,147,797,706","639,369,835","857,117,472","438,920,329","307,635,846","245,579,598","308,278,901","58,169,820","101,020,996","254,840,919","751,276,827","115,361,039","164,454,721","79,506,092","132,118,000","185,493,000","209,699,226","99,046,666","66,384,000"
PeRatio,,,,,,"9.056",,,,,,,,,"80.278",,,,,,,,,,,,,,,,,,
ForwardPeRatio,"76.923",,,,,,,,,,,,,"19.342",,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,"0.644",,,,,,,,,,,,,,,,,,,
PsRatio,"3.155","1.326","2.027","5.108","1.908","4.762","1.988","1.086","0.982","0.824","1.086","1.444","1.939","4.087","4.143","4.046","8.075","9.122","7.06","5.573","8.583","3.568","14.012","15.864","46.582","12.266","10.692","11.161","23.044","38.608","47.279","32.576","22.692"
PbRatio,"6.797","1.663","1.92","4.256","1.605","3.106","2.129","1.572","1.256","0.749","1.142","1.194","1.169","4.307","4.611","3.377","4.621","5.006","3.243","2.263","3.071","0.873","0.775","1.389","3.645","3.192","12.686","3.741","4.037","4.857","4.889","4.676","3.505"
EnterprisesValueRevenueRatio,"3.836","1.176","1.631","5.153","1.205","3.476","2.061","1.019","0.784","0.487","1.358","1.532","1.936","3.564","3.633","3.499","7.626","8.411","6.047","4.214","7.463","2.767","8.671","15.198","49.71","10.248","10.87","7.536","18.528","43.138","53.769","30.952","22.891"
EnterprisesValueEBITDARatio,"-75.603","-4.699","-8.19","-30.43","-4.089","-14.35","-5.222","-3.828","-6.625","-0.913","-4.108","-3.642","-1.624","-8.751","23.472","516.871","-116.885","-14.045","-12.026","-20.204","-17.049","-0.723","-2.005","-8.412","-43.63","-7.534","-15.454","-7.354","-18.255","-30.409","-40.327","-22.01","-41.49"
