name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
MarketCap,"3,098,639,777","3,870,759,853","1,892,202,159","1,859,183,866","3,096,099,908","3,835,201,691","4,119,666,982","3,456,550,050","2,864,971,859","1,087,919,790","2,430,026,448","2,851,976,647","8,973,427,733","9,729,145,517","12,424,073,149","9,200,565,756","5,054,892,506","7,800,458,161","3,867,152,932","3,900,229,080","3,147,489,629","3,886,943,525","1,813,586,273","1,424,617,031","908,067,473","1,006,013,509","820,651,000","1,097,520,000","1,174,757,970"
EnterpriseValue,"2,939,475,777","4,321,095,853","1,565,994,159","1,622,104,866","2,900,066,908","3,611,284,691","3,860,512,982","3,406,854,050","2,803,066,859","1,161,045,790","2,351,899,448","2,757,650,647","8,726,705,733","9,142,348,517","11,830,275,149","8,803,243,756","4,774,562,506","7,500,036,161","3,589,299,932","3,818,078,080","2,953,488,629","3,800,632,525","1,837,141,273","1,471,964,031","909,421,473","1,007,358,509","799,851,000","1,093,920,000","1,141,657,970"
PeRatio,"8.409","6.881",,,,,"50.583",,,,,"8.905","13.364","11.445","18.759","14.365","33.2","26.204","8.146","14.711","13.931","54.879","15.151","21.106","17.683","22.005","26","27.586","40.776"
ForwardPeRatio,,,,,,,,"20.704",,,,"5.754","10.01","9.479","13.298",,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,"1.528",,,,,,,,,,,,,,,,
PsRatio,"3.91","6.535","3.135","2.901","4.58","4.255","3.214","3.007","2.759","1.095","2.019","2.022","5.846","6.29","11.267","9.673","6.216","9.155","6.493","10.464","9.228","15.364","8.983","8.07","8.203","10.198","13.752","15.842","12.469"
PbRatio,"0.923","1.284","0.639","0.716","1.151","1.355","1.421","1.253","0.886","0.317","0.668","0.747","2.47","3.247","4.764","4.457","3.3","5.514","3.309","4.351","4.743","8.32","3.442","3.302","2.638","3.3","2.892","3.802","4.564"
EnterprisesValueRevenueRatio,"2.651","5.293","1.883","1.837","4.29","4.007","3.011","2.861","2.698","1.169","1.954","1.955","5.581","5.894","10.718","9.987","5.856","9.537","6.528","11.096","9.354","16.228","9.831","9.052","8.15","10.131","13.221","15.627","13.479"
EnterprisesValueEBITDARatio,"4.939","24.303","13.178","19.572","-95.984","483.568","33.798","27.724","-12.142","-3.667","121.282","5.975","8.382","7.05","12.753","10.707","17.757","17.007","12.55","27.602","23.959","13.283","25.067","36.852","89.66","127.32","-130.759","-260.457","137.549"
