name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,842,625,681","1,184,276,313","458,439,120","1,668,357,091","1,519,318,043","332,925,802","174,175,069","80,562,740"
EnterpriseValue,"1,657,795,681","967,245,313","116,229,120","1,618,333,091","1,436,122,043","305,531,802","166,100,069","66,971,740"
PeRatio,"26","18.093","11.923","59.629","121.269","19.839","25.013",
ForwardPeRatio,"18.622","15.129","11.905","47.17","54.945","20.04","18.587","105.263"
PsRatio,"3.508","2.551","1.349","8.738","12.609","3.303","2.451","2.357"
PbRatio,"2.401","1.624","0.716","9.643","11.969","3.645","3.531","13.907"
EnterprisesValueRevenueRatio,"2.972","1.734","0.299","6.23","9.169","2.842","2.225","1.835"
EnterprisesValueEBITDARatio,"13.055","7.617","1.563","35.049","67.322","14.924","20.024","300.322"
