name,ttm,12/31/2023,12/31/2022
MarketCap,"1,102,083,286","526,064,940","799,859,507"
EnterpriseValue,"897,561,286","284,489,940","762,520,507"
PsRatio,"426.663","17,498.782","332.03"
PbRatio,"5.484","2.227",
EnterprisesValueRevenueRatio,"349.518","9,482.998","316.53"
EnterprisesValueEBITDARatio,"-9.878","-4.213","-21.664"
