name,ttm,12/31/2023
MarketCap,"2,445,264,391","3,484,788,617"
EnterpriseValue,"2,489,264,391","3,257,788,617"
PeRatio,"6.543","0.778"
ForwardPeRatio,"10.449","15.601"
PsRatio,"1.861","2.486"
PbRatio,"0.839","1.119"
EnterprisesValueRevenueRatio,"1.655","3.39"
EnterprisesValueEBITDARatio,"3.853","6.135"
