name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"21,320,625,046","20,873,895,532","18,122,189,702","27,251,400,158","16,843,394,680","16,233,032,468","10,454,611,378","12,221,500,278"
EnterpriseValue,"29,166,059,046","28,658,497,532","25,574,908,702","34,494,874,158","24,613,872,680","24,807,394,468","19,779,493,378","17,731,334,278"
PeRatio,"40.988","42.111","51.103","100.756","92.813","130.304",,
ForwardPeRatio,"50.505","44.248","40.65","72.993","87.719","37.037","16.181",
PegRatio,"19.958","5.883","3.041","3.69","8.432","0.819",,
PsRatio,"8.785","8.756","8.273","13.334","9.053","9.01","6.451","7.652"
PbRatio,"2.099","2.039","1.757","2.874","2.034","2.005","1.241","3.397"
EnterprisesValueRevenueRatio,"11.991","11.783","11.427","17.277","13.503","14.058","11.48","16.816"
EnterprisesValueEBITDARatio,"19.078","18.746","19.273","29.293","22.297","23.671","21.062","38.486"
