name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020
MarketCap,"7,323,390,709","4,441,962,623","2,510,297,265","5,657,270,066","5,382,925,805"
EnterpriseValue,"7,641,130,709","4,882,177,623","3,029,433,265","5,912,806,066","5,686,293,805"
PeRatio,"63.57","212.429","22.16",,
ForwardPeRatio,"50.761","35.842","18.587","37.313","99.01"
PsRatio,"5.415","3.494","1.855","5.1","6.326"
PbRatio,"5.388","3.055","1.71","4.093","4.24"
EnterprisesValueRevenueRatio,"5.479","3.563","2.235","5.015","6.323"
EnterprisesValueEBITDARatio,"22.434","18.629","12.578","24.581","169.963"
