name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"16,039,836,357","22,468,054,708","16,973,215,486","93,321,000,000"
EnterpriseValue,"15,558,836,357","16,748,054,708","5,462,215,486","91,356,000,000"
PsRatio,"3.415","5.817","16.181","88,432.908"
PbRatio,"2.719","2.076","1.113",
EnterprisesValueRevenueRatio,"3.419","4.428","5.207","91,356"
EnterprisesValueEBITDARatio,"-1.955","-3.919","-0.911","-20.474"
