name,ttm,12/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005
MarketCap,"959,875,675","892,664,802","841,416,512","895,355,894","440,499,438","1,047,503,352","1,130,254,207","1,441,196,928","1,255,168,548","1,816,989,851","1,967,320,608","1,696,171,676","1,412,801,142","2,358,731,623","2,243,204,209","494,930,243","2,251,363,720","2,215,066,181","1,446,029,469","1,049,672,456"
EnterpriseValue,,,,,,,"1,991,321,207","2,423,313,928","2,629,473,548","3,393,981,851","3,216,000,608","2,693,425,676","2,625,351,142","3,405,820,623","2,816,235,209","1,545,924,243","3,475,503,720","550,482,181","-690,475,531","-667,073,544"
PeRatio,"8.082","18.486","7.108",,"7.337","17.812","15.818",,,"11.629","6.925","10.582",,"12.973","7.715",,,"6.646","9.374","23.634"
ForwardPeRatio,"9.251","8.518","9.615","8.764","3.668","7.886","8.032","9.643","6.305","7.525","7.681","9.268","8.396","11.377",,,,,,
PegRatio,,,,,,,,"3.216","2.102",,"1.536","1.853","1.679","1.798",,,,,,
PsRatio,"7.217","14.902","6.348",,"5.454","15.817","15.028","11.369","8.011","12.086","7.022","10.709","7.082","12.282","7.358",,,"8.758","9.012","21.945"
PbRatio,"0.955","0.895","0.821","0.88","0.362","0.792","0.784","0.957","0.728","0.91","1.022","1.027","0.879","1.203","1.265","0.355","1.186","1.644","1.176","1.176"
EnterprisesValueRevenueRatio,"14.314",,,,,,"22.366","138.364","-53.655","45.272","11.798","23.617","-38.748","17.705","10.214","-2.572","-149.433","1.72","-5.505","-13.556"
