name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"1,429,508,425","1,460,753,540","1,270,706,063","1,504,176,290","1,235,983,832","1,939,472,516","1,607,969,946","1,212,057,781","984,627,942","685,706,324","1,008,579,009"
PeRatio,"13.938","10.186","11.54","92.231","27.167","18.04","7.735","10.904","15.077","12.42","16.452"
ForwardPeRatio,,,,,,"11.001",,"8.85","8.265","5.999","9.124"
PsRatio,"5.242","4.391","4.48","11.071","5.885","6.939","3.901","6.731","3.184","2.773","3.566"
PbRatio,"0.932","0.949","0.846","1.001","0.815","1.33","1.186","1.135","1.109","0.826","1.304"
