name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003
MarketCap,"18,849,394,546","21,705,522,919","12,831,181,002","15,348,453,145","20,124,834,984","12,423,212,135","12,679,896,393","16,216,510,398","11,307,232,988","7,283,640,000","15,075,622,722","18,553,964,276","16,113,562,323","9,793,893,740","6,950,175,668","6,356,171,999","5,140,582,648","9,280,487,812","11,807,040,888","13,039,461,746","8,326,762,470","6,153,962,345","7,527,195,800"
EnterpriseValue,"23,286,394,546","26,581,522,919","18,023,181,002","19,854,453,145","24,054,834,984","14,963,212,135","15,813,896,393","18,112,510,398","13,512,232,988","10,214,640,000","16,396,622,722","19,761,964,276","16,682,562,323","10,609,893,740","7,311,175,668","6,343,171,999","6,326,582,648","10,169,487,812","12,660,040,888","12,276,461,746","7,230,762,470","5,713,962,345","7,082,195,800"
PeRatio,"23.026",,,"8.82","22.093","7.291","9.167","19.745","15.947","23.423","8.232","12.599","7.242","5.595","14.826","4.153",,"8.106","37.407","14.15","12.447","13.613","12.978"
ForwardPeRatio,"12.315","19.38","21.459","7.788","12.24","9.276","9.533","11.312","8.489","12.005","9.355","10.03","7.396","2.972","8.078",,,,,,,,
PegRatio,"0.283","0.171",,"0.851","1.386","8.587","63.525",,"0.07",,"1.795","1.178","2.182","0.303","0.762",,,,,,,,
PsRatio,"2.625","3.436","1.543","1.351","2.178","1.254","1.258","1.538","1.051","0.656","1.125","1.46","1.154","0.826","0.688","0.588","0.521","0.81","1.162","1.289","1.166","1.155","1.279"
PbRatio,,,,"36.457","41.58","6.933","7.507","11.889","7.032","4.328","4.724","7.033","4.884","2.666","2.822","2.333","3.373","2.024","2.671","2.502","3.277","3.563","5.886"
EnterprisesValueRevenueRatio,"3.205","4.242","2.143","1.648","2.362","1.444","1.457","1.684","1.226","0.893","1.162","1.427","1.083","0.797","0.666","0.557","0.645","0.8","1.136","1.334","0.957","0.918","1.092"
EnterprisesValueEBITDARatio,"15.597","57.661","25.747","7.741","14.895","8.392","6.834","9.274","7.802","7.328","5.21","7.427","4.598","3.502","4.726","2.514","-3.636","4.406","9.562","8.239","6.087","6.177","6.196"
