name,ttm,05/31/2024
MarketCap,"1,520,612,036","1,627,446,646"
EnterpriseValue,"1,655,612,036","1,788,946,646"
PeRatio,"10.745",
ForwardPeRatio,"13.459",
PsRatio,"0.471",
PbRatio,"1.504",
EnterprisesValueRevenueRatio,"0.503","0.525"
EnterprisesValueEBITDARatio,"6.085","5.636"
