name,ttm,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007
MarketCap,"10,216,751,018","13,351,165,564","6,271,172,889","2,291,900,242","17,940,804,658","19,018,467,996","13,519,828,004","15,748,081,447","11,301,459,111","6,651,814,523","3,729,079,562","4,073,328,756","3,499,021,389","4,198,637,549","4,585,875,150","3,560,907,101","840,913,872","2,501,753,096","1,784,535,260"
EnterpriseValue,"6,120,251,018","9,349,706,564","2,427,162,889","-1,246,296,758","13,880,724,658","16,995,808,996","10,836,642,004","13,230,523,447","9,330,890,111","5,100,863,523","2,669,298,562","2,921,709,756","2,606,156,389","3,398,582,549","3,972,231,150","3,141,898,101","554,409,872","2,478,168,096","1,760,950,260"
PeRatio,"27.243","44.406",,,"42.803","42.843","59.069","54.956","43.436","30.396","18.874","20.172","28.266","31.188","44.546","46.77","35.458","56.342","56.107"
ForwardPeRatio,"20.202","22.422","26.178",,"26.178","31.25","27.248","33.223","31.746","22.573","14.451","14.065","18.484","23.256","32.363",,,,
PegRatio,"1.037","0.694",,,,,,,,,"0.963","0.639","0.99","0.826","1.206",,,,
PsRatio,"2.248","3.304","2.396","0.584","4.308","5.278","4.905","7.056","6.622","4.7","3.119","3.734","3.793","5.389","8.121","9.853","7.74","13.577","12.226"
PbRatio,"2.582","3.399","1.661","0.551","3.517","6.904","6.52","7.762","7.179","5.074","3.25","4.108","4.163","6.081","7.986","8.569","2.461","7.999","7.226"
EnterprisesValueRevenueRatio,"1.317","2.316","0.912","-0.401","3.356","4.691","3.904","5.926","5.463","3.612","2.214","2.678","2.809","4.404","7.12","8.881","2.029","13.085","12.906"
EnterprisesValueEBITDARatio,"10.513","18.436","5.619","1.494","40.099","35.318","44.384","51.239","38.297","27.607","17.102","15.284","24.638","23.741","34.827","38.271","9.499","57.737","51.512"
