name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
MarketCap,"4,694,941,852","4,343,159,375","5,317,572,026","7,025,392,000","9,021,728,000","11,194,040,000","7,526,872,000","8,731,148,847","10,531,054,292","8,997,984,000","9,340,065,000","9,466,800,000","7,786,281,000","11,305,452,265","12,144,780,000","12,940,525,000","10,261,327,130","18,201,361,880","17,288,062,000"
EnterpriseValue,"4,139,141,852","5,514,059,375","6,752,472,026","8,874,592,000","8,279,028,000","10,956,440,000","7,521,172,000","8,748,148,847","10,203,454,292","8,812,284,000","9,098,665,000","9,405,700,000","7,949,681,000","9,860,152,265","13,277,280,000","14,303,825,000","12,109,227,130","19,348,961,880","19,460,062,000"
PeRatio,"8.167","6.051","6.495","9.056","12.906","10.3",,"40.447","13.164","11.056","12.101","11.424","8.053","12.255","13.654","15.579","11.565","21.874","18.504"
ForwardPeRatio,"8.019","7.013","8.772","8.052","10.941","13.532","8.703","10.194","12.484","10.288","11.074","11.074","8.584","10.204","12.3",,"11.249",,
PegRatio,"3.208",,,"1.151","0.92","1.838",,"1.41","5.312","2.66","1.686","1.683","1.066","0.86","0.991",,"0.91",,
PsRatio,"1.171","1.024","1.159","1.453","1.882","2.168","1.383","1.662","1.995","1.693","1.733","1.769","1.459","2.169","2.392","2.599","2.004","3.83","4.002"
PbRatio,"9.802","6.809","9.735","19.06","134.452",,,"12.3","7.537","6.679","7.917","9.013","8.278","22.535","20.842","36.607",,"359.001",
EnterprisesValueRevenueRatio,"0.95","1.266","1.509","1.75","1.712","2.07","1.345","1.584","1.882","1.607","1.623","1.697","1.403","1.796","2.557","2.814","2.293","3.949","4.353"
EnterprisesValueEBITDARatio,"4","5.329","5.221","7.105","6.904","6.329","5.35","11.625","13.472","6.386","6.422","6.79","4.986","5.979","8.905","9.908","7.793","13.382","13.754"
