name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"1,174,446,373","184,679,546","126,428,326","402,713,592"
EnterpriseValue,"1,378,261,373","359,176,546","228,248,326","402,713,592"
PsRatio,"3.894","0.784","0.84",
PbRatio,"16.262",,"8.598",
EnterprisesValueRevenueRatio,"4.625","1.535","1.543","2.927"
EnterprisesValueEBITDARatio,"-3.121","-43.272","-1.917","-7.221"
