name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
MarketCap,"2,380,220,274","2,234,448,350","1,533,613,028","1,774,018,062","1,219,806,730","1,259,090,284","1,879,702,008","2,527,735,165","2,178,199,760","1,691,206,552","1,489,866,395","1,361,342,125","1,302,124,957","917,227,256","1,062,790,217","1,300,454,806","1,698,906,383","1,409,300,617","2,105,064,688","1,496,800,979","1,106,887,685","975,500,166","639,483,732","989,434,846","788,299,594","497,503,494","927,505,818","419,684,357","343,978,649","375,013,149","237,535,230","291,786,269","258,850,685","315,348,885","251,184,130"
EnterpriseValue,"2,490,548,274","2,168,923,350","1,372,843,028","1,494,433,062","1,247,294,730","1,286,578,284","1,774,162,008","2,292,765,165","1,965,441,760","1,508,111,552","1,390,679,395","1,244,287,125","1,108,371,957","810,639,256","981,791,217","1,222,716,806","1,490,122,383","1,276,221,617","1,879,637,688","1,406,771,979","1,007,387,685","949,602,166","631,571,732","935,706,846","763,294,594","460,403,494","944,905,818","436,584,357","359,078,649","406,113,149","263,135,230","309,586,269","289,450,685","318,048,885","254,184,130"
PeRatio,"55.804","59.835","33.085","57.761",,,"24.412","48.792","31.977","34.886",,"145.75","29.235",,,"17.716","13.685","13.351","18.365","22.031","19.137","15.872","12.81","19.419","13.554","9.407","19.743","14.838","12.584","14.358","12.245","82.304","65.926","17.942","12.963"
ForwardPeRatio,"12.077","10.235","11.099","8.183",,"13.774",,"20.325","22.936","21.459","18.416","19.531","17.212","16.155","23.474",,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,"2.904","3.274","3.065","2.63","2.791","2.457","2.308","2.01",,,,,,,,,,,,,,,,,,,,
PsRatio,"0.811","0.698","0.615","0.5","0.37","0.383","0.528","0.896","0.891","0.734","0.659","0.625","0.631","0.481","0.588","0.646","0.626","0.547","0.712","0.591","0.511","0.52","0.358","0.633","0.568","0.374","0.748","0.402","0.371","0.464","0.339","0.487","0.496","0.56","0.437"
PbRatio,"2.436","2.339","1.613","1.801","0.999","1.031","1.381","2.765","2.501","2.077","1.908","1.675","1.569","1.173","1.397","1.566","2.19","2.013","3.052","2.548","2.011","1.932","1.406","2.364","2.161","1.518","3.078","1.63","1.473","1.846","1.322","1.776","1.607","2.025","1.88"
EnterprisesValueRevenueRatio,"0.71","0.618","0.416","0.427","0.399","0.441","0.54","0.775","0.782","0.636","0.611","0.549","0.532","0.403","0.557","0.623","0.557","0.466","0.633","0.533","0.472","0.515","0.358","0.604","0.566","0.346","0.771","0.425","0.387","0.454","0.379","0.543","0.558","0.564","0.456"
EnterprisesValueEBITDARatio,"14.6","12.715","7.341","9.837","8.604","12.889","13.196","15.767","11.354","8.287","10.077","53.504","7.503","5.056","-44.223","5.207","4.425","4.448","11.91","6.807","6.627","6.292","4.364","7.842","5.608","3.634","8.798","5.722","4.676","5.422","4.974","10.639","9.746","6.599","5.198"
