name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"24,195,218,125","33,523,859,400","29,374,008,004","34,554,017,987"
EnterpriseValue,"23,564,218,125","33,318,859,400","28,867,008,004","36,076,017,987"
PeRatio,"33.167","23.858","35.705",
ForwardPeRatio,"24.691","23.419","22.936","37.594"
PegRatio,"1.7","2.819",,
PsRatio,"3.598","4.409","3.74","6.638"
PbRatio,"2.15","3.11","3.265","5.314"
EnterprisesValueRevenueRatio,"3.479","4.362","3.675","6.949"
EnterprisesValueEBITDARatio,"9.806","10.853","10.968","36.257"
