name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
MarketCap,"1,695,811,685","1,765,708,926","1,232,923,896","1,132,248,760","1,237,579,300","1,308,243,040","784,753,080","702,837,767","746,051,045","599,914,720","646,720,650","651,070,000","297,700,500","293,151,485","236,145,580","181,224,000","138,594,549","305,598,750","393,143,300","137,846,360","238,952,000","205,460,500","124,899,450","363,972,690","253,316,000","543,696,977","274,900,673"
EnterpriseValue,"1,403,539,685","1,479,943,926","1,122,353,896","1,049,873,760","1,140,107,300","1,221,140,040","714,645,080","640,499,767","679,168,045","523,047,720","569,726,650","574,076,000","258,782,500","255,578,485","203,601,580","138,537,000","95,900,549","296,693,750","394,329,300","144,011,360","244,253,000","214,519,500","129,723,450","336,159,690","256,622,000","533,296,977","270,200,673"
PeRatio,"20.422","22.706","13.362","17.822","20.296","16.176","12.492","14.977","15.35","13.318","16.046","18.969","9.274","10.462","10.424",,"13.128","13.353","41.194","20.692","28.848","35.761","39","51.138","6.737","24.468","25.919"
ForwardPeRatio,"18.282","18.622",,,,"15.674","12.821","12.658","14.124","12.407","14.837","16.208","8.026","8.532","10.428",,,,,,,,,,,,
PegRatio,"1.828","1.862",,,,"1.958","1.602","1.583","2.017","1.772","1.483","0.648","0.321",,"1.042",,,,,,,,,,,,
PsRatio,"0.596","0.615","0.388","0.411","0.474","0.469","0.29","0.244","0.285","0.238","0.27","0.298","0.142","0.142","0.121","0.115","0.079","0.172","0.235","0.098","0.178","0.157","0.106","0.312","0.12","0.526","0.375"
PbRatio,"2.017","2.156","1.634","1.65","1.97","2.243","1.5","1.498","1.743","1.544","1.838","2.036","1.022","1.059","0.917","0.77","0.589","1.362","2.136","0.805","1.438","1.307","0.832","2.48","1.909","5.772","3.944"
EnterprisesValueRevenueRatio,"0.492","0.519","0.359","0.363","0.44","0.433","0.265","0.22","0.252","0.203","0.231","0.258","0.12","0.122","0.103","0.088","0.055","0.166","0.241","0.1","0.18","0.163","0.109","0.283","0.178","0.493","0.36"
EnterprisesValueEBITDARatio,"11.841","12.485","8.466","9.66","13.155","9.692","6.947","6.887","7.19","5.974","7.162","8.633","4.203","4.751","4.595","20.877","3.738","6.81","12.728","8.631","11.511","10.11","8.442","17.162","4.395","12.335","10.68"
