name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"2,468,564,000","1,765,663,537","1,558,927,792","802,438,474","669,747,109","1,634,039,670","883,822,133"
EnterpriseValue,"3,481,478,000","2,825,662,537","2,163,325,792","1,746,280,474","1,652,829,109","2,259,214,670","1,448,661,133"
PeRatio,"8.684","16.356","3.414",,,"3.846",
ForwardPeRatio,"4.156","16.077","3.807","4.829",,"9.728","6.158"
PsRatio,"1.115","1.112","0.926","0.759","0.817","1.743","1.182"
PbRatio,"1.145","0.856","1.349","1.189","0.522","1.52","1.263"
EnterprisesValueRevenueRatio,"2.388","1.938","1.31","1.403","2.87","2.488","1.625"
EnterprisesValueEBITDARatio,"3.317","2.692","2.206","4.337","19.799","4.512","2.268"
