name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"3,333,091,179","3,114,405,284","2,320,596,764","3,379,077,541","1,783,553,326","1,687,646,856","1,414,847,202","2,318,891,694","961,660,219"
EnterpriseValue,"6,529,404,179","6,303,147,284","5,102,737,764","5,935,247,541","4,680,180,326","4,635,912,856","4,014,058,202","4,961,700,694","3,301,905,219"
PeRatio,"19.15","15.325","11.431","33.543",,,"10.155","61.416","15.134"
ForwardPeRatio,"13.736","15.015","10.87",,"27.248","19.455","15.106","29.326","14.577"
PsRatio,"3.371","4.293","1.803","3.776","1.353","1.065","1.461","2.105","0.684"
PbRatio,"19.741","25.459","71.586","9.749","5.562","3.375","2.738","6.797","8.043"
EnterprisesValueRevenueRatio,"3.787","3.656","3.067","3.668","3.958","2.497","2.388","3.021","2.237"
EnterprisesValueEBITDARatio,"9.404","9.078","7.362","10.86","15.632","12.515","7.083","9.768","7.161"
