name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
MarketCap,"2,383,647,108","3,367,673,312","2,701,960,999","4,163,959,149","3,235,584,688","3,178,484,260","1,806,059,762","1,423,789,048","1,228,972,873","1,220,571,979","1,238,860,256","1,172,186,635","793,036,334","716,675,005","745,902,861","664,605,658","694,777,463","661,494,053","646,959,052","667,027,783","823,592,700","692,654,827","563,616,151","503,472,836","261,526,433","395,793,108","500,788,596","395,179,907","307,128,418","226,316,376","119,874,533","42,564,119","64,513,539","133,152,975","33,001,275","12,128,728","12,038,102","11,676,444"
EnterpriseValue,"3,333,199,108","4,349,962,312","3,705,281,999","4,848,034,149","3,977,242,688","3,942,587,260","2,237,313,762","1,888,086,048","1,702,345,873","1,417,075,979","1,422,263,256","1,347,465,635","931,168,334","852,294,005","929,100,861","838,876,658","882,341,463","872,633,053","933,273,052","936,180,783","1,113,925,700","951,259,827","815,377,151","837,999,836","647,197,433","786,793,108","879,788,596","746,679,907","296,128,418","261,716,376","125,374,533","52,464,119","57,013,539","128,852,975","38,201,275","18,428,728","8,638,102","8,276,444"
PeRatio,"37.961","57.637",,"70.178",,"110.723","25.375","92.673","78.875","36.107","40.143","32.946","19.823","22.322","25.171","54.286","15.75","16.161","47.184","19.236","25.604","21.636","15.548","19.96","11.816","14.702","26.19",,"18.842","30.106","110.357",,"17.187","32.834","13.807","37.761","13.486","8.726"
ForwardPeRatio,,,,"36.9",,,,"25.51","21.692","25.445","19.881","17.762","12.285","15.873","18.484",,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,"1.809","1.614","1.117","1.22","1.607",,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.963","2.933","2.54","4.596","3.698","3.507","2.197","1.841","1.644","1.708","1.686","1.589","1.044","1.017","1.071","0.956","0.943","0.965","1.043","1.13","1.534","1.396","1.201","1.136","0.674","1.073","1.505","2.867","2.366","3.001","1.738","0.771","1.654","3.326","1.055","0.712","0.854","0.768"
PbRatio,"2.857","4.23","3.773","5.51","4.736","4.535","2.767","2.417","2.104","2.114","2.09","1.979","1.306","1.176","1.272","1.153","1.307","1.31","1.397","1.381","1.838","1.598","1.457","1.775","1.163","1.873","2.749","2.429","1.936","3.179","2.903","1.135","1.667","3.916","2.578","1.093","1.192","1.156"
EnterprisesValueRevenueRatio,"2.678","3.495","3.544","4.797","4.612","4.128","2.603","2.371","2.23","1.97","1.922","1.767","1.214","1.175","1.302","1.207","1.189","1.257","1.443","1.517","1.995","1.914","1.8","1.955","1.65","2.112","2.615","5.399","2.358","2.628","1.763","0.979","1.338","3.347","1.217","0.926","0.608","0.662"
EnterprisesValueEBITDARatio,"17.317","22.6","134.434","27.034","33.626","26.958","16.941","18.078","18.906","14.908","14.436","12.942","8.327","18.112","9.824","13.441","8.426","7.631","36.964","9.903","10.466","8.44","8.016","8.456","6.889","7.829","10.375","22.765","9.254","10.996","9.795","37.474","7.127","15.714","6.367","14.176","5.081","3.762"
