name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
MarketCap,"6,160,150,314","5,352,473,658","3,355,016,592","3,401,088,244","2,004,339,737","1,808,138,560","1,324,582,009","2,048,040,149","2,292,852,652","1,548,998,276","1,942,615,332","1,783,330,254","1,405,824,739","1,468,654,561","1,237,860,821","935,215,666","931,504,380","1,074,946,387","1,173,701,534","1,004,767,237","1,171,752,332","1,177,735,145","933,514,667","1,112,744,500","894,429,689","1,265,813,750","727,367,904","1,033,031,000","650,627,439","442,198,165","259,891,324","340,196,500","220,471,177","82,118,500"
EnterpriseValue,"4,926,668,314","4,283,084,658","2,897,529,592","3,442,013,244","2,263,139,737","2,175,813,560","1,739,133,009","2,344,964,149","2,225,813,652","1,546,509,276","1,925,464,332","1,700,739,254","1,441,760,739","1,229,354,561","1,033,967,821","771,765,666","835,554,380","1,120,809,387","1,344,766,534","1,210,582,237","1,440,281,332","936,919,145","734,079,667","1,041,855,500","890,680,689","1,266,213,750","841,367,904","1,035,131,000","613,227,439","491,398,165","321,591,324","325,596,500","245,471,177","142,118,500"
PeRatio,"10.228","8.588","5.185","8.886","15.069","18.04","16.11","20.964","23.645","16.832","19.677","10.229","21.658","16.075","14.342","207","11.558","9.352","6.577","14.742","14.977","28.874","14.193","18.472","10.195","14.442","10.691","16.573","12.261","13.479","12.448","17.402","13.616",
ForwardPeRatio,"17.212","14.97","9.443",,,,"13.736",,,,"18.116","16.34","17.794","16","18.832",,"50.251",,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,"3.77",,,,,,,,,,,,,,,,,,,
PsRatio,"1.801","1.499","0.824","0.965","0.874","0.733","0.543","0.918","1.11","0.713","0.836","0.817","0.817","0.596","0.6","0.601","0.366","0.4","0.481","0.645","0.862","1.268","1.059","1.185","0.845","1.228","0.866","1.302","1.045","0.823","0.589","0.732","0.437","0.186"
PbRatio,"2.635","2.41","2.069","3.071","2.793","2.976","2.328","3.962","2.566","1.9","2.508","2.695","2.773","1.716","1.569","1.311","1.329","1.513","2.033","2.532","3.332","1.445","1.239","1.654","1.449","2.223","1.449","2.471","1.869","1.617","1.114","1.532","1.079","0.538"
EnterprisesValueRevenueRatio,"1.44","1.252","0.728","0.913","0.944","0.895","0.693","1.035","1.083","0.736","0.814","0.788","0.658","0.508","0.502","0.499","0.327","0.415","0.536","0.7","1.044","0.938","0.77","1.075","0.769","1.083","0.905","1.164","0.854","0.724","0.585","0.649","0.475","0.322"
EnterprisesValueEBITDARatio,"5.558","4.832","3.148","4.958","8.281","9.28","8.083","12.997","11.805","8.885","10.27","5.526","9.083","6.884","5.947","10.337","4.52","4.874","5.158","7.013","9.17","10.606","5.959","7.186","4.957","6.848","6.293","8.576","5.631","6.189","5.682","6.237","5.873","12.252"
