name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
MarketCap,"1,506,463,663","1,579,405,507","1,444,361,650","862,197,936","893,275,255","1,215,664,640","559,384,180","511,026,799","386,535,496","758,242,466","678,737,747","198,640,262","37,294,778","47,693,389","227,486,256","179,126,632","217,382,174","367,577,042","485,849,596","395,182,181"
EnterpriseValue,"1,840,263,663","1,942,065,507","1,797,583,650","1,322,515,936","1,310,537,255","2,046,163,640","1,407,903,180","1,250,470,799","999,858,496","1,221,950,466","1,185,020,747","304,641,262","177,628,778","302,027,389","434,148,256","399,503,632","502,362,174","685,912,042","705,009,596","484,782,181"
PeRatio,"9.33","8.582",,,"2.502","138",,"11.581","18.818","7.096","13.537",,,,"35.769","10.222","4.735","13.451","9.147","4.559"
ForwardPeRatio,"8.764","6.583","7.825","15.723","12.755","3.906",,"8.446","8.467","7.57","14.205",,"11.655","9.775","10.373",,,,,
PegRatio,,,,,,,,,,,"1.776",,"1.457","1.222","2.075",,,,,
PsRatio,"2.58","2.731","3.975","2.915","1.246","2.452","1.703","1.159","1.112","2.525","3.756","1.38","0.504","0.446","2.529","1.662","1.743","4.515","4.692","2.906"
PbRatio,"1.462","1.545","1.427","0.817","0.787","1.453","0.652","0.546","0.579","1.052","1.048","1.188","0.206","0.234","1.159","0.933","1.471","5.114","4.548","3.167"
EnterprisesValueRevenueRatio,"3.152","3.319","4.857","4.365","1.655","4.246","4.272","3.596","2.734","3.559","10.884","3.975","1.828","3.092","4.841","3.895","4.384","8.424","6.809","3.566"
EnterprisesValueEBITDARatio,"5.962","5.941","11.809","8.639","2.604","11.357","16.485","7.712","7.08","5.704","34.371","25.901","-3.28","4,507.872","8.992","5.879","5.57","11.746","8.88","4.285"
