name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"8,710,832,647","6,577,585,239","4,787,010,003","3,488,149,948","3,726,951,703","4,155,644,927"
EnterpriseValue,"9,365,042,647","7,368,756,239","5,514,417,003","4,016,098,948","3,938,019,703","4,508,725,927"
PeRatio,"57.965","48.992","52.557","62.315","41.851","68.559"
ForwardPeRatio,,,,,"15.823",
PsRatio,"1.74","1.423","1.294","1.002","0.922","1.067"
PbRatio,"3.808","3.055","2.479","1.912","2.157","2.653"
EnterprisesValueRevenueRatio,"1.721","1.354","1.314","1.097","1.005","1.14"
EnterprisesValueEBITDARatio,"22.538","17.734","17.794","14.631","12.689","20.809"
